date,branch,sweet_name,selling_price,quantity_kg,cost_per_kg
2025-11-02,Malleswaram,Chandrakala,₹819.00,5.0,400.0
2025-11-26,Jayanagar,Special Mysore Paak,₹870.00,11.0,500.0
2025-08-27,Malleswaram,Special Mysore Paak,₹870.00,8.0,500.0
2025-11-29,Indiranagar,Motichoor Laddu,₹876.00,1.0,450.0
2025-11-15,Malleswaram,Motichoor Laddu,₹876.00,11.0,450.0
2025-02-21,Indiranagar,Chandrakala,₹819.00,7.0,400.0
2025-10-27,Indiranagar,Special Mysore Paak,₹870.00,8.0,500.0
2025-04-10,Indiranagar,Dry Fruit Mixture,₹933.00,1.0,600.0
2025-06-10,Indiranagar,Chandrakala,₹819.00,10.0,400.0
2025-06-20,Indiranagar,Special Mysore Paak,₹870.00,12.0,500.0
2025-07-18,Jayanagar,Chandrakala,₹819.00,7.0,400.0
2025-07-09,Jayanagar,Kaju Katli,"₹1,276.00",4.0,800.0
2025-02-14,Malleswaram,Dry Fruit Mixture,₹933.00,7.0,600.0
2025-01-11,Jayanagar,Chandrakala,₹819.00,3.0,400.0
2025-01-07,Indiranagar,Kaju Katli,"₹1,276.00",7.0,800.0
2025-07-24,Indiranagar,Special Mysore Paak,₹870.00,2.0,500.0
2025-09-19,,Dry Fruit Mixture,₹933.00,14.0,600.0
2025-01-09,Jayanagar,Special Mysore Paak,₹870.00,14.0,500.0
2025-10-24,Jayanagar,Dry Fruit Mixture,₹933.00,15.0,600.0
2025-08-26,Jayanagar,Motichoor Laddu,₹876.00,9.0,450.0
2025-02-26,Jayanagar,Kaju Katli,"₹1,276.00",9.0,800.0
2025-04-12,Malleswaram,Dry Fruit Mixture,₹933.00,3.0,600.0
2025-04-30,Malleswaram,Dry Fruit Mixture,₹933.00,14.0,600.0
2025-11-25,Jayanagar,Dry Fruit Mixture,₹933.00,1.0,600.0
2025-05-31,Malleswaram,Chandrakala,₹819.00,11.0,400.0
2025-09-29,Malleswaram,Kaju Katli,"₹1,276.00",2.0,800.0
2025-05-30,Malleswaram,Special Mysore Paak,₹870.00,11.0,500.0
2025-03-29,Jayanagar,Kaju Katli,"₹1,276.00",15.0,800.0
2025-01-31,Jayanagar,Chandrakala,₹819.00,4.0,400.0
2025-04-28,Malleswaram,Motichoor Laddu,₹876.00,15.0,450.0
2025-03-28,Indiranagar,Special Mysore Paak,₹870.00,3.0,500.0
2025-05-11,Indiranagar,Chandrakala,₹819.00,4.0,400.0
2025-11-12,Malleswaram,Kaju Katli,"₹1,276.00",15.0,800.0
2025-06-12,Indiranagar,Dry Fruit Mixture,₹933.00,8.0,600.0
2025-01-09,Malleswaram,Chandrakala,₹819.00,8.0,400.0
2025-12-29,Jayanagar,Kaju Katli,"₹1,276.00",15.0,800.0
2025-06-08,Malleswaram,Special Mysore Paak,₹870.00,7.0,500.0
2025-05-03,Jayanagar,Kaju Katli,"₹1,276.00",13.0,800.0
2025-08-17,Indiranagar,Chandrakala,₹819.00,3.0,400.0
2025-07-27,Jayanagar,Dry Fruit Mixture,₹933.00,5.0,600.0
2025-05-18,Jayanagar,Dry Fruit Mixture,₹933.00,9.0,600.0
2025-10-20,Malleswaram,Kaju Katli,"₹1,276.00",2.0,800.0
2025-09-30,Indiranagar,Chandrakala,₹819.00,1.0,400.0
2025-12-05,Indiranagar,Dry Fruit Mixture,₹933.00,8.0,600.0
2025-11-15,Indiranagar,Special Mysore Paak,₹870.00,2.0,500.0
2025-01-02,Malleswaram,Motichoor Laddu,₹876.00,6.0,450.0
2025-10-15,Malleswaram,Special Mysore Paak,₹870.00,7.0,500.0
2025-05-19,Jayanagar,Kaju Katli,"₹1,276.00",1.0,800.0
2025-02-24,Indiranagar,Motichoor Laddu,₹876.00,6.0,450.0
2025-12-19,Indiranagar,Chandrakala,₹819.00,4.0,400.0
2025-11-22,Indiranagar,Special Mysore Paak,₹870.00,15.0,500.0
2025-05-31,Indiranagar,Chandrakala,₹819.00,13.0,400.0
2025-10-29,Jayanagar,Chandrakala,₹819.00,8.0,400.0
2025-11-04,Indiranagar,Kaju Katli,"₹1,276.00",10.0,800.0
2025-12-16,Malleswaram,Dry Fruit Mixture,₹933.00,15.0,600.0
2025-12-08,Malleswaram,Dry Fruit Mixture,₹933.00,11.0,600.0
2025-03-10,Indiranagar,Motichoor Laddu,₹876.00,,450.0
2025-08-07,Indiranagar,Motichoor Laddu,₹876.00,15.0,450.0
2025-05-08,Jayanagar,Motichoor Laddu,₹876.00,6.0,450.0
2025-12-01,Indiranagar,Motichoor Laddu,₹876.00,14.0,450.0
2025-09-12,Jayanagar,Kaju Katli,"₹1,276.00",11.0,800.0
2025-06-14,Indiranagar,Motichoor Laddu,₹876.00,11.0,450.0
2025-05-02,Indiranagar,Chandrakala,₹819.00,1.0,400.0
2025-11-27,Jayanagar,Chandrakala,₹819.00,,400.0
2025-01-24,Malleswaram,Chandrakala,₹819.00,12.0,400.0
2025-03-15,Indiranagar,Special Mysore Paak,₹870.00,3.0,500.0
2025-02-02,Malleswaram,Kaju Katli,"₹1,276.00",5.0,800.0
2025-06-26,Malleswaram,Dry Fruit Mixture,₹933.00,7.0,600.0
2025-01-29,Malleswaram,Special Mysore Paak,₹870.00,4.0,500.0
2025-08-19,Malleswaram,Special Mysore Paak,₹870.00,14.0,500.0
2025-04-27,Jayanagar,Chandrakala,₹819.00,2.0,400.0
2025-06-26,Malleswaram,Kaju Katli,"₹1,276.00",10.0,800.0
2025-09-03,Jayanagar,Kaju Katli,"₹1,276.00",3.0,800.0
2025-01-27,Indiranagar,Motichoor Laddu,₹876.00,1.0,450.0
2025-05-22,Jayanagar,Dry Fruit Mixture,₹933.00,1.0,600.0
2025-02-06,Malleswaram,Special Mysore Paak,₹870.00,14.0,500.0
2025-06-27,Indiranagar,Dry Fruit Mixture,₹933.00,12.0,600.0
2025-05-03,Malleswaram,Motichoor Laddu,₹876.00,14.0,450.0
2025-01-06,Indiranagar,Dry Fruit Mixture,₹933.00,2.0,600.0
2025-09-25,Indiranagar,Motichoor Laddu,₹876.00,,450.0
2025-03-28,Indiranagar,Chandrakala,₹819.00,14.0,400.0
2025-07-18,Malleswaram,Dry Fruit Mixture,₹933.00,10.0,600.0
2025-05-11,Malleswaram,Dry Fruit Mixture,₹933.00,6.0,600.0
2025-08-21,Malleswaram,Chandrakala,₹819.00,3.0,400.0
2025-05-06,Jayanagar,Chandrakala,₹819.00,1.0,400.0
2025-06-20,Malleswaram,Chandrakala,₹819.00,10.0,400.0
2025-04-16,Malleswaram,Kaju Katli,"₹1,276.00",6.0,800.0
2025-01-20,Jayanagar,Kaju Katli,"₹1,276.00",14.0,800.0
2025-08-24,Jayanagar,Special Mysore Paak,₹870.00,12.0,500.0
2025-10-19,Indiranagar,Special Mysore Paak,₹870.00,6.0,500.0
2025-11-07,Malleswaram,Chandrakala,₹819.00,1.0,400.0
2025-03-11,Indiranagar,Special Mysore Paak,₹870.00,15.0,500.0
2025-12-07,Malleswaram,Chandrakala,₹819.00,2.0,400.0
2025-07-02,Indiranagar,Motichoor Laddu,₹876.00,8.0,450.0
2025-02-25,Jayanagar,Chandrakala,₹819.00,15.0,400.0
2025-03-30,Malleswaram,Dry Fruit Mixture,₹933.00,10.0,600.0
2025-03-17,Malleswaram,Motichoor Laddu,₹876.00,6.0,450.0
2025-04-15,Jayanagar,Kaju Katli,"₹1,276.00",14.0,800.0
2025-03-30,Jayanagar,Kaju Katli,"₹1,276.00",,800.0
2025-04-12,Indiranagar,Motichoor Laddu,₹876.00,15.0,450.0
2025-04-13,Jayanagar,Motichoor Laddu,₹876.00,9.0,450.0
2025-04-02,Malleswaram,Kaju Katli,"₹1,276.00",7.0,800.0
2025-03-25,Malleswaram,Chandrakala,₹819.00,5.0,400.0
2025-10-19,Indiranagar,Dry Fruit Mixture,₹933.00,12.0,600.0
2025-08-02,Indiranagar,Motichoor Laddu,₹876.00,1.0,450.0
2025-05-10,Malleswaram,Special Mysore Paak,₹870.00,10.0,500.0
2025-02-15,Indiranagar,Motichoor Laddu,₹876.00,13.0,450.0
2025-11-16,Indiranagar,Special Mysore Paak,₹870.00,5.0,500.0
2025-02-06,Indiranagar,Chandrakala,₹819.00,2.0,400.0
2025-08-29,Jayanagar,Kaju Katli,"₹1,276.00",12.0,800.0
2025-01-23,Malleswaram,Chandrakala,₹819.00,4.0,400.0
2025-03-07,Indiranagar,Dry Fruit Mixture,₹933.00,12.0,600.0
2025-09-09,Indiranagar,Kaju Katli,"₹1,276.00",2.0,800.0
2025-12-23,Jayanagar,Special Mysore Paak,₹870.00,9.0,500.0
2025-12-16,Jayanagar,Dry Fruit Mixture,₹933.00,13.0,600.0
2025-07-12,Malleswaram,Special Mysore Paak,₹870.00,4.0,500.0
2025-02-17,Indiranagar,Motichoor Laddu,₹876.00,14.0,450.0
2025-07-03,Indiranagar,Chandrakala,₹819.00,9.0,400.0
2025-05-30,Malleswaram,Dry Fruit Mixture,₹933.00,1.0,600.0
2025-06-10,Jayanagar,Motichoor Laddu,₹876.00,1.0,450.0
2025-04-05,Jayanagar,Kaju Katli,"₹1,276.00",1.0,800.0
2025-05-22,Malleswaram,Special Mysore Paak,₹870.00,10.0,500.0
2025-12-08,Indiranagar,Chandrakala,₹819.00,6.0,400.0
2025-06-13,Jayanagar,Kaju Katli,"₹1,276.00",5.0,800.0
2025-12-09,Indiranagar,Special Mysore Paak,₹870.00,12.0,500.0
2025-05-07,Malleswaram,Motichoor Laddu,₹876.00,10.0,450.0
2025-08-23,Indiranagar,Kaju Katli,"₹1,276.00",3.0,800.0
2025-05-29,Jayanagar,Special Mysore Paak,₹870.00,10.0,500.0
2025-04-04,Jayanagar,Motichoor Laddu,₹876.00,6.0,450.0
2025-04-13,Malleswaram,Motichoor Laddu,₹876.00,,450.0
2025-03-24,Jayanagar,Motichoor Laddu,₹876.00,10.0,450.0
2025-08-18,Jayanagar,Special Mysore Paak,₹870.00,1.0,500.0
2025-08-05,Jayanagar,Special Mysore Paak,₹870.00,2.0,500.0
2025-10-10,Jayanagar,Chandrakala,₹819.00,1.0,400.0
2025-05-07,Indiranagar,Kaju Katli,"₹1,276.00",6.0,800.0
2025-08-25,Malleswaram,Motichoor Laddu,₹876.00,15.0,450.0
2025-04-11,Jayanagar,Kaju Katli,"₹1,276.00",7.0,800.0
2025-06-27,Indiranagar,Special Mysore Paak,₹870.00,11.0,500.0
2025-11-03,Jayanagar,Chandrakala,₹819.00,7.0,400.0
2025-02-15,Jayanagar,Special Mysore Paak,₹870.00,8.0,500.0
2025-05-29,,Dry Fruit Mixture,₹933.00,7.0,600.0
2025-04-21,Malleswaram,Special Mysore Paak,₹870.00,14.0,500.0
2025-10-25,Jayanagar,Special Mysore Paak,₹870.00,13.0,500.0
2025-06-15,Indiranagar,Chandrakala,₹819.00,4.0,400.0
2025-01-06,Jayanagar,Chandrakala,₹819.00,8.0,400.0
2025-03-20,Malleswaram,Kaju Katli,"₹1,276.00",6.0,800.0
2025-06-30,Malleswaram,Dry Fruit Mixture,₹933.00,2.0,600.0
2025-06-16,Jayanagar,Dry Fruit Mixture,₹933.00,7.0,600.0
2025-06-24,Malleswaram,Chandrakala,₹819.00,8.0,400.0
2025-06-18,Malleswaram,Special Mysore Paak,₹870.00,9.0,500.0
2025-03-21,Jayanagar,Kaju Katli,"₹1,276.00",11.0,800.0
2025-11-29,Malleswaram,Chandrakala,₹819.00,9.0,400.0
2025-11-18,Malleswaram,Kaju Katli,"₹1,276.00",11.0,800.0
2025-09-18,Jayanagar,Motichoor Laddu,₹876.00,8.0,450.0
2025-12-15,Malleswaram,Dry Fruit Mixture,₹933.00,1.0,600.0
2025-01-20,Jayanagar,Kaju Katli,"₹1,276.00",8.0,800.0
2025-06-14,Malleswaram,Motichoor Laddu,₹876.00,2.0,450.0
2025-06-03,Jayanagar,Chandrakala,₹819.00,9.0,400.0
2025-02-27,,Dry Fruit Mixture,₹933.00,13.0,600.0
2025-01-08,Malleswaram,Kaju Katli,"₹1,276.00",3.0,800.0
2025-04-11,Jayanagar,Dry Fruit Mixture,₹933.00,5.0,600.0
2025-12-04,Indiranagar,Chandrakala,₹819.00,12.0,400.0
2025-11-12,Malleswaram,Kaju Katli,"₹1,276.00",15.0,800.0
2025-05-20,Malleswaram,Kaju Katli,"₹1,276.00",2.0,800.0
2025-01-13,Indiranagar,Motichoor Laddu,₹876.00,15.0,450.0
2025-10-06,Indiranagar,Kaju Katli,"₹1,276.00",15.0,800.0
2025-07-17,Malleswaram,Motichoor Laddu,₹876.00,10.0,450.0
2025-12-26,Malleswaram,Motichoor Laddu,₹876.00,12.0,450.0
2025-09-14,Indiranagar,Chandrakala,₹819.00,,400.0
2025-06-07,Indiranagar,Dry Fruit Mixture,₹933.00,8.0,600.0
2025-05-13,Jayanagar,Kaju Katli,"₹1,276.00",4.0,800.0
2025-12-12,Indiranagar,Dry Fruit Mixture,₹933.00,8.0,600.0
2025-02-19,Indiranagar,Dry Fruit Mixture,₹933.00,15.0,600.0
2025-05-13,Jayanagar,Motichoor Laddu,₹876.00,8.0,450.0
2025-05-21,Jayanagar,Dry Fruit Mixture,₹933.00,1.0,600.0
2025-04-28,Malleswaram,Special Mysore Paak,₹870.00,8.0,500.0
2025-10-24,Malleswaram,Special Mysore Paak,₹870.00,5.0,500.0
2025-01-27,Malleswaram,Dry Fruit Mixture,₹933.00,5.0,600.0
2025-05-22,Jayanagar,Dry Fruit Mixture,₹933.00,5.0,600.0
2025-03-31,Malleswaram,Chandrakala,₹819.00,10.0,400.0
2025-03-07,Jayanagar,Motichoor Laddu,₹876.00,10.0,450.0
2025-07-09,Indiranagar,Motichoor Laddu,₹876.00,14.0,450.0
2025-04-22,Malleswaram,Special Mysore Paak,₹870.00,12.0,500.0
2025-11-17,Malleswaram,Kaju Katli,"₹1,276.00",10.0,800.0
2025-06-30,Jayanagar,Motichoor Laddu,₹876.00,3.0,450.0
2025-03-15,Indiranagar,Special Mysore Paak,₹870.00,1.0,500.0
2025-12-13,Jayanagar,Dry Fruit Mixture,₹933.00,1.0,600.0
2025-03-10,Jayanagar,Kaju Katli,"₹1,276.00",2.0,800.0
2025-01-19,Jayanagar,Chandrakala,₹819.00,9.0,400.0
2025-10-20,Jayanagar,Dry Fruit Mixture,₹933.00,14.0,600.0
2025-11-30,Malleswaram,Kaju Katli,"₹1,276.00",7.0,800.0
2025-01-26,Indiranagar,Chandrakala,₹819.00,,400.0
2025-12-30,Malleswaram,Special Mysore Paak,₹870.00,5.0,500.0
2025-10-31,Indiranagar,Motichoor Laddu,₹876.00,8.0,450.0
2025-06-12,Indiranagar,Chandrakala,₹819.00,11.0,400.0
2025-03-13,Malleswaram,Chandrakala,₹819.00,1.0,400.0
2025-08-21,Jayanagar,Special Mysore Paak,₹870.00,4.0,500.0
2025-02-28,Malleswaram,Chandrakala,₹819.00,4.0,400.0
2025-04-04,Malleswaram,Dry Fruit Mixture,₹933.00,11.0,600.0
2025-06-14,Malleswaram,Dry Fruit Mixture,₹933.00,3.0,600.0
2025-01-16,Malleswaram,Kaju Katli,"₹1,276.00",4.0,800.0
2025-08-04,Malleswaram,Special Mysore Paak,₹870.00,9.0,500.0
2025-04-09,Jayanagar,Chandrakala,₹819.00,,400.0
2025-04-06,Malleswaram,Special Mysore Paak,₹870.00,7.0,500.0
2025-10-01,Malleswaram,Chandrakala,₹819.00,2.0,400.0
2025-01-11,Indiranagar,Motichoor Laddu,₹876.00,,450.0
2025-08-02,Malleswaram,Special Mysore Paak,₹870.00,1.0,500.0
2025-09-29,Malleswaram,Dry Fruit Mixture,₹933.00,11.0,600.0
2025-05-10,Indiranagar,Motichoor Laddu,₹876.00,1.0,450.0
2025-01-11,Malleswaram,Special Mysore Paak,₹870.00,,500.0
2025-09-14,Indiranagar,Special Mysore Paak,₹870.00,14.0,500.0
2025-07-04,Malleswaram,Dry Fruit Mixture,₹933.00,11.0,600.0
2025-03-09,Malleswaram,Special Mysore Paak,₹870.00,2.0,500.0
2025-05-18,Indiranagar,Motichoor Laddu,₹876.00,8.0,450.0
2025-04-14,Malleswaram,Kaju Katli,"₹1,276.00",13.0,800.0
2025-03-15,Jayanagar,Kaju Katli,"₹1,276.00",1.0,800.0
2025-09-13,Indiranagar,Motichoor Laddu,₹876.00,14.0,450.0
2025-11-05,Malleswaram,Special Mysore Paak,₹870.00,9.0,500.0
2025-04-14,Jayanagar,Special Mysore Paak,₹870.00,3.0,500.0
2025-12-26,Malleswaram,Chandrakala,₹819.00,6.0,400.0
2025-04-03,Indiranagar,Motichoor Laddu,₹876.00,3.0,450.0
2025-06-02,Malleswaram,Kaju Katli,"₹1,276.00",11.0,800.0
2025-11-23,Jayanagar,Chandrakala,₹819.00,6.0,400.0
2025-03-02,Jayanagar,Dry Fruit Mixture,₹933.00,6.0,600.0
2025-12-22,,Kaju Katli,"₹1,276.00",14.0,800.0
2025-05-07,Jayanagar,Motichoor Laddu,₹876.00,,450.0
2025-08-01,Jayanagar,Special Mysore Paak,₹870.00,10.0,500.0
2025-10-08,Jayanagar,Chandrakala,₹819.00,2.0,400.0
2025-08-08,Jayanagar,Dry Fruit Mixture,₹933.00,7.0,600.0
2025-11-29,Jayanagar,Special Mysore Paak,₹870.00,4.0,500.0
2025-02-28,Malleswaram,Motichoor Laddu,₹876.00,15.0,450.0
2025-01-13,Jayanagar,Chandrakala,₹819.00,1.0,400.0
2025-05-08,Jayanagar,Dry Fruit Mixture,₹933.00,11.0,600.0
2025-02-16,Jayanagar,Special Mysore Paak,₹870.00,6.0,500.0
2025-06-09,Malleswaram,Motichoor Laddu,₹876.00,9.0,450.0
2025-10-28,Jayanagar,Chandrakala,₹819.00,12.0,400.0
2025-07-08,Indiranagar,Kaju Katli,"₹1,276.00",8.0,800.0
2025-01-20,Indiranagar,Dry Fruit Mixture,₹933.00,8.0,600.0
2025-09-10,Jayanagar,Motichoor Laddu,₹876.00,13.0,450.0
2025-02-20,Jayanagar,Dry Fruit Mixture,₹933.00,15.0,600.0
2025-11-02,Jayanagar,Special Mysore Paak,₹870.00,3.0,500.0
2025-07-03,Malleswaram,Special Mysore Paak,₹870.00,5.0,500.0
2025-05-12,Jayanagar,Kaju Katli,"₹1,276.00",14.0,800.0
2025-10-11,Indiranagar,Chandrakala,₹819.00,9.0,400.0
2025-02-27,Jayanagar,Chandrakala,₹819.00,,400.0
2025-02-05,Jayanagar,Special Mysore Paak,₹870.00,6.0,500.0
2025-05-12,Jayanagar,Kaju Katli,"₹1,276.00",12.0,800.0
2025-11-26,,Special Mysore Paak,₹870.00,5.0,500.0
2025-04-10,Jayanagar,Special Mysore Paak,₹870.00,8.0,500.0
2025-07-06,Jayanagar,Kaju Katli,"₹1,276.00",12.0,800.0
2025-09-07,Indiranagar,Special Mysore Paak,₹870.00,14.0,500.0
2025-06-15,Indiranagar,Motichoor Laddu,₹876.00,2.0,450.0
2025-12-29,Malleswaram,Dry Fruit Mixture,₹933.00,11.0,600.0
2025-12-21,,Chandrakala,₹819.00,9.0,400.0
2025-07-20,Jayanagar,Chandrakala,₹819.00,9.0,400.0
2025-09-19,Jayanagar,Special Mysore Paak,₹870.00,15.0,500.0
2025-05-14,Malleswaram,Dry Fruit Mixture,₹933.00,7.0,600.0
2025-10-14,Malleswaram,Kaju Katli,"₹1,276.00",11.0,800.0
2025-07-01,Indiranagar,Chandrakala,₹819.00,15.0,400.0
2025-09-16,,Special Mysore Paak,₹870.00,5.0,500.0
2025-07-22,Indiranagar,Special Mysore Paak,₹870.00,13.0,500.0
2025-07-16,Indiranagar,Chandrakala,₹819.00,12.0,400.0
2025-05-04,Jayanagar,Chandrakala,₹819.00,11.0,400.0
2025-07-28,Indiranagar,Special Mysore Paak,₹870.00,8.0,500.0
2025-11-22,Jayanagar,Kaju Katli,"₹1,276.00",,800.0
2025-02-17,Indiranagar,Special Mysore Paak,₹870.00,,500.0
2025-09-11,Jayanagar,Chandrakala,₹819.00,4.0,400.0
2025-02-10,Indiranagar,Special Mysore Paak,₹870.00,11.0,500.0
2025-10-06,Jayanagar,Special Mysore Paak,₹870.00,10.0,500.0
2025-01-30,Indiranagar,Chandrakala,₹819.00,7.0,400.0
2025-06-12,Malleswaram,Motichoor Laddu,₹876.00,4.0,450.0
2025-01-26,Indiranagar,Dry Fruit Mixture,₹933.00,15.0,600.0
2025-02-16,Jayanagar,Kaju Katli,"₹1,276.00",3.0,800.0
2025-09-16,Indiranagar,Special Mysore Paak,₹870.00,15.0,500.0
2025-07-29,Malleswaram,Motichoor Laddu,₹876.00,10.0,450.0
2025-06-13,Malleswaram,Chandrakala,₹819.00,5.0,400.0
2025-10-25,Jayanagar,Kaju Katli,"₹1,276.00",8.0,800.0
2025-11-14,Indiranagar,Kaju Katli,"₹1,276.00",11.0,800.0
2025-05-03,Jayanagar,Motichoor Laddu,₹876.00,8.0,450.0
2025-01-28,Malleswaram,Motichoor Laddu,₹876.00,7.0,450.0
2025-12-19,Indiranagar,Kaju Katli,"₹1,276.00",15.0,800.0
2025-09-13,Jayanagar,Special Mysore Paak,₹870.00,12.0,500.0
2025-08-16,Jayanagar,Kaju Katli,"₹1,276.00",14.0,800.0
2025-03-05,Jayanagar,Kaju Katli,"₹1,276.00",14.0,800.0
2025-08-17,Jayanagar,Special Mysore Paak,₹870.00,10.0,500.0
2025-08-10,Jayanagar,Motichoor Laddu,₹876.00,1.0,450.0
